arch, instr, time(ms)
rv32, BPF_ALU64 BPF_LSH BPF_X, 40079
rv32, BPF_ALU64 BPF_RSH BPF_X, 35547
rv32, BPF_ALU64 BPF_ARSH BPF_X, 49586
rv32, BPF_ALU64 BPF_NEG, 6201
rv32, BPF_LDX BPF_MEM BPF_B, 49273
rv32, BPF_LDX BPF_MEM BPF_H, 50978
rv32, BPF_LDX BPF_MEM BPF_W, 51555
rv32, BPF_LDX BPF_MEM BPF_DW, 57854
rv32, BPF_ST BPF_MEM BPF_B, 43176
rv32, BPF_ST BPF_MEM BPF_H, 26389
rv32, BPF_ST BPF_MEM BPF_W, 53844
rv32, BPF_ST BPF_MEM BPF_DW, 56444
rv32, BPF_STX BPF_XADD BPF_W, 51987
rv32, BPF_JMP32 BPF_JEQ BPF_X, 110260
rv32, BPF_JMP32 BPF_JGT BPF_X, 46950
rv32, BPF_JMP32 BPF_JLT BPF_X, 28827
rv32, BPF_JMP32 BPF_JGE BPF_X, 33189
rv32, BPF_JMP32 BPF_JLE BPF_X, 29998
rv32, BPF_JMP32 BPF_JNE BPF_X, 122271
rv32, BPF_JMP32 BPF_JSGT BPF_X, 31205
rv32, BPF_JMP32 BPF_JSLT BPF_X, 71045
rv32, BPF_JMP32 BPF_JSGE BPF_X, 31777
rv32, BPF_JMP32 BPF_JSLE BPF_X, 138683
rv32, BPF_JMP32 BPF_JSET BPF_X, 24390
rv32, BPF_STX BPF_MEM BPF_B, 40152
rv32, BPF_STX BPF_MEM BPF_H, 35992
rv32, BPF_STX BPF_MEM BPF_W, 52387
rv32, BPF_STX BPF_MEM BPF_DW, 59730
rv32, BPF_JMP BPF_JEQ BPF_X, 32197
rv32, BPF_JMP BPF_JGT BPF_X, 60442
rv32, BPF_JMP BPF_JLT BPF_X, 41900
rv32, BPF_JMP BPF_JGE BPF_X, 80018
rv32, BPF_JMP BPF_JLE BPF_X, 104030
rv32, BPF_JMP BPF_JNE BPF_X, 79763
rv32, BPF_JMP BPF_JSGT BPF_X, 74979
rv32, BPF_JMP BPF_JSLT BPF_X, 90502
rv32, BPF_JMP BPF_JSGE BPF_X, 53856
rv32, BPF_JMP BPF_JSLE BPF_X, 73317
rv32, BPF_JMP BPF_JSET BPF_X, 28138
rv32, BPF_JMP BPF_CALL, 8216
rv32, BPF_JMP BPF_TAIL_CALL, 1096306
rv32, BPF_JMP BPF_EXIT, 4147
rv32, BPF_JMP32 BPF_JEQ BPF_K, 212716
rv32, BPF_JMP32 BPF_JGT BPF_K, 196604
rv32, BPF_JMP32 BPF_JLT BPF_K, 249597
rv32, BPF_JMP32 BPF_JGE BPF_K, 145935
rv32, BPF_JMP32 BPF_JLE BPF_K, 178711
rv32, BPF_JMP32 BPF_JNE BPF_K, 128686
rv32, BPF_JMP32 BPF_JSGT BPF_K, 95795
rv32, BPF_JMP32 BPF_JSLT BPF_K, 106255
rv32, BPF_JMP32 BPF_JSGE BPF_K, 96823
rv32, BPF_JMP32 BPF_JSLE BPF_K, 129522
rv32, BPF_JMP32 BPF_JSET BPF_K, 76418
rv32, BPF_ALU64 BPF_MOV BPF_K, 18749
rv32, BPF_ALU64 BPF_ADD BPF_K, 47601
rv32, BPF_ALU64 BPF_SUB BPF_K, 61354
rv32, BPF_ALU64 BPF_AND BPF_K, 17918
rv32, BPF_ALU64 BPF_OR BPF_K, 18611
rv32, BPF_ALU64 BPF_XOR BPF_K, 17028
rv32, BPF_ALU64 BPF_MUL BPF_K, 1470687
rv32, BPF_ALU64 BPF_LSH BPF_K, 9081
rv32, BPF_ALU64 BPF_RSH BPF_K, 11044
rv32, BPF_ALU64 BPF_ARSH BPF_K, 16439
rv32, BPF_JMP BPF_JA, 5859
rv32, BPF_JMP BPF_JEQ BPF_K, 206250
rv32, BPF_JMP BPF_JGT BPF_K, 231949
rv32, BPF_JMP BPF_JLT BPF_K, 245887
rv32, BPF_JMP BPF_JGE BPF_K, 179338
rv32, BPF_JMP BPF_JLE BPF_K, 151521
rv32, BPF_JMP BPF_JNE BPF_K, 145554
rv32, BPF_JMP BPF_JSGT BPF_K, 127754
rv32, BPF_JMP BPF_JSLT BPF_K, 109281
rv32, BPF_JMP BPF_JSGE BPF_K, 112256
rv32, BPF_JMP BPF_JSLE BPF_K, 120001
rv32, BPF_JMP BPF_JSET BPF_K, 95900
rv64, BPF_JMP BPF_CALL, 4404
rv64, BPF_JMP BPF_EXIT, 2054
rv64, BPF_ALU BPF_END BPF_FROM_BE, 12550
rv64, BPF_ALU BPF_END BPF_FROM_LE, 5085
rv64, BPF_ALU64 BPF_MOV BPF_X, 3364
rv64, BPF_ALU64 BPF_ADD BPF_X, 7053
rv64, BPF_ALU64 BPF_SUB BPF_X, 35756
rv64, BPF_ALU64 BPF_AND BPF_X, 3737
rv64, BPF_ALU64 BPF_OR BPF_X, 3074
rv64, BPF_ALU64 BPF_XOR BPF_X, 5614
rv64, BPF_ALU64 BPF_MUL BPF_X, 1570
rv64, BPF_ALU64 BPF_DIV BPF_X, 1430
rv64, BPF_ALU64 BPF_MOD BPF_X, 3272
rv64, BPF_ALU64 BPF_LSH BPF_X, 3650
rv64, BPF_ALU64 BPF_RSH BPF_X, 3900
rv64, BPF_ALU64 BPF_ARSH BPF_X, 7852
rv64, BPF_ALU64 BPF_NEG, 1201
rv64, BPF_ALU BPF_MOV BPF_X, 7176
rv64, BPF_ALU BPF_ADD BPF_X, 9086
rv64, BPF_ALU BPF_SUB BPF_X, 34590
rv64, BPF_ALU BPF_AND BPF_X, 6452
rv64, BPF_ALU BPF_OR BPF_X, 7686
rv64, BPF_ALU BPF_XOR BPF_X, 8125
rv64, BPF_ALU BPF_MUL BPF_X, 4470
rv64, BPF_ALU BPF_DIV BPF_X, 4533
rv64, BPF_ALU BPF_MOD BPF_X, 4406
rv64, BPF_ALU BPF_LSH BPF_X, 6264
rv64, BPF_ALU BPF_RSH BPF_X, 5852
rv64, BPF_ALU BPF_ARSH BPF_X, 6879
rv64, BPF_ALU BPF_NEG, 2872
rv64, BPF_ALU64 BPF_MOV BPF_K, 4946
rv64, BPF_ALU64 BPF_ADD BPF_K, 15839
rv64, BPF_ALU64 BPF_SUB BPF_K, 20545
rv64, BPF_ALU64 BPF_AND BPF_K, 4537
rv64, BPF_ALU64 BPF_OR BPF_K, 3854
rv64, BPF_ALU64 BPF_XOR BPF_K, 5113
rv64, BPF_ALU64 BPF_MUL BPF_K, 5121
rv64, BPF_ALU64 BPF_DIV BPF_K, 5000
rv64, BPF_ALU64 BPF_MOD BPF_K, 48073
rv64, BPF_ALU64 BPF_LSH BPF_K, 3399
rv64, BPF_ALU64 BPF_RSH BPF_K, 9844
rv64, BPF_ALU64 BPF_ARSH BPF_K, 9169
rv64, BPF_LDX BPF_MEM BPF_B, 7455
rv64, BPF_LDX BPF_MEM BPF_H, 11370
rv64, BPF_LDX BPF_MEM BPF_W, 15369
rv64, BPF_LDX BPF_MEM BPF_DW, 11807
rv64, BPF_ST BPF_MEM BPF_B, 10033
rv64, BPF_ST BPF_MEM BPF_H, 6255
rv64, BPF_ST BPF_MEM BPF_W, 7004
rv64, BPF_ST BPF_MEM BPF_DW, 6955
rv64, BPF_STX BPF_XADD BPF_W, 7894
rv64, BPF_STX BPF_XADD BPF_DW, 9986
rv64, BPF_STX BPF_MEM BPF_B, 5758
rv64, BPF_STX BPF_MEM BPF_H, 6400
rv64, BPF_STX BPF_MEM BPF_W, 8339
rv64, BPF_STX BPF_MEM BPF_DW, 10665
rv64, BPF_JMP BPF_JEQ BPF_X, 13152
rv64, BPF_JMP BPF_JGT BPF_X, 12281
rv64, BPF_JMP BPF_JLT BPF_X, 17650
rv64, BPF_JMP BPF_JGE BPF_X, 14799
rv64, BPF_JMP BPF_JLE BPF_X, 15362
rv64, BPF_JMP BPF_JNE BPF_X, 18592
rv64, BPF_JMP BPF_JSGT BPF_X, 13818
rv64, BPF_JMP BPF_JSLT BPF_X, 11396
rv64, BPF_JMP BPF_JSGE BPF_X, 9582
rv64, BPF_JMP BPF_JSLE BPF_X, 9168
rv64, BPF_JMP BPF_JSET BPF_X, 14337
rv64, BPF_ALU BPF_MOV BPF_K, 19431
rv64, BPF_ALU BPF_ADD BPF_K, 61955
rv64, BPF_ALU BPF_SUB BPF_K, 79835
rv64, BPF_ALU BPF_AND BPF_K, 22870
rv64, BPF_ALU BPF_OR BPF_K, 20077
rv64, BPF_ALU BPF_XOR BPF_K, 21168
rv64, BPF_ALU BPF_MUL BPF_K, 12019
rv64, BPF_ALU BPF_DIV BPF_K, 18754
rv64, BPF_ALU BPF_MOD BPF_K, 77941
rv64, BPF_ALU BPF_LSH BPF_K, 4557
rv64, BPF_ALU BPF_RSH BPF_K, 4669
rv64, BPF_ALU BPF_ARSH BPF_K, 5679
rv64, BPF_JMP32 BPF_JEQ BPF_X, 18899
rv64, BPF_JMP32 BPF_JGT BPF_X, 22280
rv64, BPF_JMP32 BPF_JLT BPF_X, 79478
rv64, BPF_JMP32 BPF_JGE BPF_X, 79138
rv64, BPF_JMP32 BPF_JLE BPF_X, 73612
rv64, BPF_JMP32 BPF_JNE BPF_X, 13104
rv64, BPF_JMP32 BPF_JSGT BPF_X, 8061
rv64, BPF_JMP32 BPF_JSLT BPF_X, 9111
rv64, BPF_JMP32 BPF_JSGE BPF_X, 6742
rv64, BPF_JMP32 BPF_JSLE BPF_X, 8443
rv64, BPF_JMP32 BPF_JSET BPF_X, 13772
rv64, BPF_JMP BPF_JA, 4773
rv64, BPF_JMP BPF_JEQ BPF_K, 330971
rv64, BPF_JMP BPF_JGT BPF_K, 121227
rv64, BPF_JMP BPF_JLT BPF_K, 103825
rv64, BPF_JMP BPF_JGE BPF_K, 134176
rv64, BPF_JMP BPF_JLE BPF_K, 104811
rv64, BPF_JMP BPF_JNE BPF_K, 187855
rv64, BPF_JMP BPF_JSGT BPF_K, 152681
rv64, BPF_JMP BPF_JSLT BPF_K, 105946
rv64, BPF_JMP BPF_JSGE BPF_K, 155216
rv64, BPF_JMP BPF_JSLE BPF_K, 99728
rv64, BPF_JMP BPF_JSET BPF_K, 123019
rv64, BPF_JMP32 BPF_JEQ BPF_K, 353162
rv64, BPF_JMP32 BPF_JGT BPF_K, 288667
rv64, BPF_JMP32 BPF_JLT BPF_K, 273163
rv64, BPF_JMP32 BPF_JGE BPF_K, 364703
rv64, BPF_JMP32 BPF_JLE BPF_K, 369152
rv64, BPF_JMP32 BPF_JNE BPF_K, 80625
rv64, BPF_JMP32 BPF_JSGT BPF_K, 51678
rv64, BPF_JMP32 BPF_JSLT BPF_K, 201366
rv64, BPF_JMP32 BPF_JSGE BPF_K, 183544
rv64, BPF_JMP32 BPF_JSLE BPF_K, 196085
rv64, BPF_JMP32 BPF_JSET BPF_K, 396354
rv64, BPF_LD BPF_IMM BPF_DW, 5943538
