arch, instr, time(ms)
arm32, BPF_JMP BPF_JA, 3695
arm32, BPF_JMP BPF_JEQ BPF_K, 38566
arm32, BPF_JMP BPF_JGT BPF_K, 42568
arm32, BPF_JMP BPF_JLT BPF_K, 43253
arm32, BPF_JMP BPF_JGE BPF_K, 60624
arm32, BPF_JMP BPF_JLE BPF_K, 48017
arm32, BPF_JMP BPF_JNE BPF_K, 31239
arm32, BPF_JMP BPF_JSGT BPF_K, 31846
arm32, BPF_JMP BPF_JSLT BPF_K, 20429
arm32, BPF_JMP BPF_JSGE BPF_K, 20770
arm32, BPF_JMP BPF_JSLE BPF_K, 17327
arm32, BPF_JMP BPF_JSET BPF_K, 33886
arm64, BPF_JMP BPF_CALL, 610
arm64, BPF_JMP BPF_EXIT, 1096
arm64, BPF_ALU BPF_END BPF_FROM_BE, 6314
arm64, BPF_ALU BPF_END BPF_FROM_LE, 4105
arm64, BPF_ALU BPF_MOV BPF_X, 5339
arm64, BPF_ALU BPF_ADD BPF_X, 5469
arm64, BPF_ALU BPF_SUB BPF_X, 13178
arm64, BPF_ALU BPF_AND BPF_X, 3449
arm64, BPF_ALU BPF_OR BPF_X, 2242
arm64, BPF_ALU BPF_XOR BPF_X, 3097
arm64, BPF_ALU BPF_MUL BPF_X, 2193
arm64, BPF_ALU BPF_DIV BPF_X, 3291
arm64, BPF_ALU BPF_MOD BPF_X, 2381
arm64, BPF_ALU BPF_LSH BPF_X, 3601
arm64, BPF_ALU BPF_RSH BPF_X, 2892
arm64, BPF_ALU BPF_ARSH BPF_X, 8568
arm64, BPF_ALU BPF_NEG, 2532
arm64, BPF_ALU64 BPF_MOV BPF_X, 2746
arm64, BPF_ALU64 BPF_ADD BPF_X, 9805
arm64, BPF_ALU64 BPF_SUB BPF_X, 26926
arm64, BPF_ALU64 BPF_AND BPF_X, 2621
arm64, BPF_ALU64 BPF_OR BPF_X, 2595
arm64, BPF_ALU64 BPF_XOR BPF_X, 4085
arm64, BPF_ALU64 BPF_MUL BPF_X, 1740
arm64, BPF_ALU64 BPF_DIV BPF_X, 1818
arm64, BPF_ALU64 BPF_MOD BPF_X, 2930
arm64, BPF_ALU64 BPF_LSH BPF_X, 4741
arm64, BPF_ALU64 BPF_RSH BPF_X, 5113
arm64, BPF_ALU64 BPF_ARSH BPF_X, 5998
arm64, BPF_ALU64 BPF_NEG, 1404
arm64, BPF_JMP32 BPF_JEQ BPF_X, 4816
arm64, BPF_JMP32 BPF_JGT BPF_X, 5960
arm64, BPF_JMP32 BPF_JLT BPF_X, 9029
arm64, BPF_JMP32 BPF_JGE BPF_X, 7963
arm64, BPF_JMP32 BPF_JLE BPF_X, 6828
arm64, BPF_JMP32 BPF_JNE BPF_X, 4724
arm64, BPF_JMP32 BPF_JSGT BPF_X, 5858
arm64, BPF_JMP32 BPF_JSLT BPF_X, 5643
arm64, BPF_JMP32 BPF_JSGE BPF_X, 5977
arm64, BPF_JMP32 BPF_JSLE BPF_X, 6017
arm64, BPF_JMP32 BPF_JSET BPF_X, 4451
arm64, BPF_LD BPF_IMM BPF_DW, 30517
arm64, BPF_ST BPF_MEM BPF_B, 2907
arm64, BPF_ST BPF_MEM BPF_H, 3459
arm64, BPF_ST BPF_MEM BPF_W, 2875
arm64, BPF_ST BPF_MEM BPF_DW, 3522
arm64, BPF_LDX BPF_MEM BPF_B, 2821
arm64, BPF_LDX BPF_MEM BPF_H, 4286
arm64, BPF_LDX BPF_MEM BPF_W, 5325
arm64, BPF_LDX BPF_MEM BPF_DW, 3068
arm64, BPF_STX BPF_MEM BPF_B, 2524
arm64, BPF_STX BPF_MEM BPF_H, 2466
arm64, BPF_STX BPF_MEM BPF_W, 3021
arm64, BPF_STX BPF_MEM BPF_DW, 3092
arm64, BPF_STX BPF_XADD BPF_W, 5420
arm64, BPF_STX BPF_XADD BPF_DW, 9362
arm64, BPF_ALU64 BPF_MOV BPF_K, 2980
arm64, BPF_ALU64 BPF_ADD BPF_K, 16312
arm64, BPF_ALU64 BPF_SUB BPF_K, 46422
arm64, BPF_ALU64 BPF_AND BPF_K, 9759
arm64, BPF_ALU64 BPF_OR BPF_K, 8940
arm64, BPF_ALU64 BPF_XOR BPF_K, 9239
arm64, BPF_ALU64 BPF_MUL BPF_K, 2943
arm64, BPF_ALU64 BPF_DIV BPF_K, 3249
arm64, BPF_ALU64 BPF_MOD BPF_K, 19372
arm64, BPF_ALU64 BPF_LSH BPF_K, 2672
arm64, BPF_ALU64 BPF_RSH BPF_K, 2536
arm64, BPF_ALU64 BPF_ARSH BPF_K, 6479
arm64, BPF_JMP BPF_JEQ BPF_X, 8739
arm64, BPF_JMP BPF_JGT BPF_X, 11367
arm64, BPF_JMP BPF_JLT BPF_X, 12460
arm64, BPF_JMP BPF_JGE BPF_X, 13062
